nombre,precioEspecial,codigo_principal,vendible,stock,id_producto
Estabilizador Desktop TCA-1200N LYONN AVR,3540.0,EAN: 7798126660019,1,20,1674
Mouse Pad Redragon Suzaku P003 800x300mm,3030.0,SKU: RD-P003,1,20,7734
Palanca Logitech Drive Force Shifte para G920 & G29 ,12770.0,SKU: 941-000119,1,18,7697
Mouse HP HyperX Pulsefire Surge RGB 16.000DPI,8470.0,SKU: 4P5Q1AA,1,20,7696
Disco Sólido SSD Gigabyte 120GB 500MB/s,3850.0,SKU: GP-GSTFS31120GNTD,1,2,7612
Disco Sólido SSD Gigabyte 240GB 500MB/s,5780.0,SKU: GP-GSTFS31240GNTD,1,20,7611
Mouse Pad HP HyperX Fury S Pro L,3160.0,SKU: 4P4F9AA,1,14,7501
Auriculares HP HyperX Cloud Stinger Gaming Negro  PC | PS4 | Switch | XBOX,9920.0,SKU: 4P5L7AA#ABL,1,20,7494
Mouse Pad HP HyperX Fury S Pro M,2460.0,SKU: 4P5Q5AA,1,3,7492
Mouse Pad HP HyperX Fury S Pro XL,5890.0,SKU: 4P5Q9AA,1,20,7491
Mouse Logitech G PRO Hero Gaming 16000DPI RGB,6620.0,SKU: 910-005536,1,20,7472
Teclado Mecanico Redragon K550 YAMA White Retroiluminado RGB Español,10100.0,SKU: K550W-1-SP,1,20,7420
Disco Sólido SSD Kingston 480GB A400 500MB/s,8980.0,SKU: SA400S37/480G,1,20,7411
"Monitor Gamer Viewsonic 25"" XG2530 240Hz FreeSync3",131850.0,SKU: -XG2530-,1,4,7396
Combo Redragon Teclado K552 + Mouse M601 + Auris H101 + Mouse Pad Archelon M Español,11160.0,SKU: K552-BB-2-SP,1,20,7373
Combo Redragon S101-BA-1 4 en 1 Teclado Harpe RGB Mouse Centrophorus Auriculares Garuda y Mouse Pad Archelon M,7900.0,SKU: S101-BA-2-SP,1,20,7372
Memoria Adata DDR4 8GB 3200MHz XPG GAMMIX D10 Black,9500.0,SKU: AX4U32008G16A-SB10,1,20,13946
ARMADO DE PC ESPECIAL (No incluye instalación de sistema operativo),1000.0,,1,20,5047
ARMADO BASICO DE PC (No incluye instalación de sistema operativo),1050.0,,1,20,5043
ARMADO DE PC (No incluye instalación de sistema operativo),1500.0,,1,20,4671
Service Instalación Cooler CPU en equipos armados,1500.0,,1,20,2615
Usar Cooler CPU incluido en el procesador AMD,0.0,,1,20,2094
Usar Cooler CPU incluido en el procesador Intel,0.0,,1,20,2093
Teclado Gaming Retroiluminado Wesdar MK10,2720.0,EAN: 6971071749744,1,20,14132
Procesador Intel Pentium Gold G5400 LGA 1151 OEM sin cooler,14930.0,OTROS: 1413114131,1,20,14131
Fuente Gigabyte 750W 80 Plus Gold  Modular GP-P750GM*,22850.0,UPC: 813567028710,1,20,14130
Parlantes Genius GX Gaming SW-G2.1 3000 II,28390.0,UPC: 091163258353,1,20,14129
Gabinete MSI MAG FORGE M100A RGB,18180.0,UPC: 824142280386,1,20,14126
"Monitor Gamer Samsung 27"" G4 Odyssey 240Hz",128120.0,P/N: LS27BG400ELX,1,20,14125
"Monitor Gamer Samsung 25"" G4 Odyssey 240Hz",112650.0,P/N: LS25BG400ELX,1,20,14123
Silla Gamer Checkpoint FIFA MT-2000 Qatar,95360.0,UPC: 810098150446,1,2,14122
Silla Gamer Checkpoint FIFA MT-2000 Argentina,95360.0,UPC: 810098150460,1,5,14121
Gabinete Lian Li Lancool 3R-W White ARGB,54540.0,P/N: G99.LAN3RW.00,1,19,14120
Gabinete Lian Li Lancool 3R-X Black ARGB,50280.0,P/N: G99.LAN3RX.00,1,20,14119
Gabinete Lian Li Lancool 3-W White,50280.0,P/N: G99.LAN3W.00,1,20,14117
Gabinete Lian Li Lancool 3-X Black,46310.0,P/N: G99.LAN3X.00,1,20,14116
Gabinete Be quiet! SILENT BASE 802 Window White,51190.0,EAN: 4260052188408,1,1,14109
Gabinete Thermaltake S100 Tempered Glass Black Sin fuente,16140.0,P/N: CA-1Q9-00S1WN-00,1,20,14108
Gabinete Thermaltake S100 Tempered Glass White Sin fuente,17220.0,P/N: CA-1Q9-00S6WN-00,1,20,14107
Gabinete Thermaltake V150 Tempered Glass Sin fuente,17220.0,UPC: 841163075715,1,20,14106
Disco Solido SSD M2 WD 2TB Black SN850X Heatsink 7300MB/s NVMe PCIe Gen4 x4,74770.0,P/N: WDS200T2XHE,1,1,14101
Fuente Cooler Master 800W 80 Plus Gold G800,22050.0,OTROS: 1409914099,1,20,14099
Fuente Cooler Master 700W 80 Plus Gold G700,20990.0,OTROS: 1409814098,1,3,14098
Fuente Cooler Master 750W 80 Plus Bronze MWE,19560.0,P/N: MPE-750-ACAAB,1,20,14097
Mother ASUS ROG CROSSHAIR X670E HERO,197400.0,P/N: ROG CROSSHAIR X670E HERO,1,6,14095
Disco Solido SSD M2 WD 1TB Black SN850X Heatsink 7300MB/s NVMe PCIe Gen4 x4,42650.0,P/N: WDS100T2XHE,1,2,14094
Mother Asrock X670E PG LIGHTNING AM5,86730.0,P/N: 90-MXBJ60-A0UAYZ,1,7,14093
Mother Asrock X670E Steel Legend AM5,99120.0,P/N: X670E STEEL LEGEND,1,3,14090
Disco Sólido SSD Crucial 1TB BX500 540MB/s,15299.0,P/N: CT1000BX500SSD1,1,20,14089
Disco Solido SSD M.2 Crucial 1TB P3 PLUS 5000MB/s NVMe PCI-E x4,23990.0,P/N: CT1000P3PSSD8,1,20,14087
